
========>...................] - ETA: 21:53 - loss: 0.3489 - acc: 0.8717
23856/60000 [==========>...................] - ETA: 21:45 - loss: 0.3499 - acc: 0.8713
23859/60000 [==========>...................] - ETA: 21:45 - loss: 0.3498 - acc: 0.8713
23862/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8713
23865/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23868/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23871/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23874/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23877/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23880/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23883/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23886/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8713
23889/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23892/60000 [==========>...................] - ETA: 21:43 - loss: 0.3496 - acc: 0.8714
23895/60000 [==========>...................] - ETA: 21:43 - loss: 0.3496 - acc: 0.8714
23898/60000 [==========>...................] - ETA: 21:43 - loss: 0.3496 - acc: 0.8714
23901/60000 [==========>...................] - ETA: 21:43 - loss: 0.3495 - acc: 0.8714
23904/60000 [==========>...................] - ETA: 21:43 - loss: 0.3495 - acc: 0.8714
23907/60000 [==========>...................] - ETA: 21:43 - loss: 0.3495 - acc: 0.8715
23910/60000 [==========>...................] - ETA: 21:43 - loss: 0.3494 - acc: 0.8715
23913/60000 [==========>...................] - ETA: 21:43 - loss: 0.3494 - acc: 0.8715
23916/60000 [==========>...................] - ETA: 21:43 - loss: 0.3495 - acc: 0.8715
23919/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23922/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23925/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23928/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8714
23931/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23934/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23937/60000 [==========>...................] - ETA: 21:42 - loss: 0.3494 - acc: 0.8715
23940/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23943/60000 [==========>...................] - ETA: 21:42 - loss: 0.3495 - acc: 0.8715
23946/60000 [==========>...................] - ETA: 21:41 - loss: 0.3494 - acc: 0.8715
23949/60000 [==========>...................] - ETA: 21:41 - loss: 0.3494 - acc: 0.8715
23952/60000 [==========>...................] - ETA: 21:41 - loss: 0.3494 - acc: 0.8715
23955/60000 [==========>...................] - ETA: 21:41 - loss: 0.3494 - acc: 0.8715
23958/60000 [==========>...................] - ETA: 21:41 - loss: 0.3494 - acc: 0.8715
23961/60000 [==========>...................] - ETA: 21:41 - loss: 0.3493 - acc: 0.8715
23964/60000 [==========>...................] - ETA: 21:41 - loss: 0.3493 - acc: 0.8715
23967/60000 [==========>...................] - ETA: 21:41 - loss: 0.3493 - acc: 0.8715
23970/60000 [==========>...................] - ETA: 21:41 - loss: 0.3493 - acc: 0.8715
23973/60000 [==========>...................] - ETA: 21:41 - loss: 0.3492 - acc: 0.8715
23976/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8715
23979/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8716
23982/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8715
23985/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8715
23988/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8716
23991/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8716
23994/60000 [==========>...................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8716
23997/60000 [==========>...................] - ETA: 21:40 - loss: 0.3491 - acc: 0.8716
24000/60000 [===========>..................] - ETA: 21:40 - loss: 0.3492 - acc: 0.8716
24003/60000 [===========>..................] - ETA: 21:39 - loss: 0.3491 - acc: 0.8716
24006/60000 [===========>..................] - ETA: 21:39 - loss: 0.3491 - acc: 0.8716
24009/60000 [===========>..................] - ETA: 21:39 - loss: 0.3492 - acc: 0.8716
24012/60000 [===========>..................] - ETA: 21:39 - loss: 0.3491 - acc: 0.8716
24015/60000 [===========>..................] - ETA: 21:39 - loss: 0.3492 - acc: 0.8716
24018/60000 [===========>..................] - ETA: 21:39 - loss: 0.3492 - acc: 0.8716
24021/60000 [===========>..................] - ETA: 21:39 - loss: 0.3494 - acc: 0.8716
24024/60000 [===========>..................] - ETA: 21:39 - loss: 0.3494 - acc: 0.8715
24027/60000 [===========>..................] - ETA: 21:39 - loss: 0.3493 - acc: 0.8716
24030/60000 [===========>..................] - ETA: 21:38 - loss: 0.3493 - acc: 0.8716
24033/60000 [===========>..................] - ETA: 21:38 - loss: 0.3492 - acc: 0.8716
24036/60000 [===========>..................] - ETA: 21:38 - loss: 0.3492 - acc: 0.8716
24039/60000 [===========>..................] - ETA: 21:38 - loss: 0.3492 - acc: 0.8716
24042/60000 [===========>..................] - ETA: 21:38 - loss: 0.3492 - acc: 0.8716
24045/60000 [===========>..................] - ETA: 21:38 - loss: 0.3492 - acc: 0.8716
24048/60000 [===========>..................] - ETA: 21:38 - loss: 0.3491 - acc: 0.8716
24051/60000 [===========>..................] - ETA: 21:38 - loss: 0.3491 - acc: 0.8716
24054/60000 [===========>..................] - ETA: 21:38 - loss: 0.3490 - acc: 0.8717
24057/60000 [===========>..................] - ETA: 21:37 - loss: 0.3491 - acc: 0.8716
24060/60000 [===========>..................] - ETA: 21:37 - loss: 0.3491 - acc: 0.8716
24063/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24066/60000 [===========>..................] - ETA: 21:37 - loss: 0.3491 - acc: 0.8716
24069/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24072/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24075/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24078/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24081/60000 [===========>..................] - ETA: 21:37 - loss: 0.3490 - acc: 0.8716
24084/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24087/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24090/60000 [===========>..................] - ETA: 21:36 - loss: 0.3488 - acc: 0.8716
24093/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24096/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24099/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24102/60000 [===========>..................] - ETA: 21:36 - loss: 0.3490 - acc: 0.8716
24105/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24108/60000 [===========>..................] - ETA: 21:36 - loss: 0.3489 - acc: 0.8716
24111/60000 [===========>..................] - ETA: 21:35 - loss: 0.3489 - acc: 0.8716
24114/60000 [===========>..................] - ETA: 21:35 - loss: 0.3489 - acc: 0.8716
24117/60000 [===========>..................] - ETA: 21:35 - loss: 0.3489 - acc: 0.8716
24120/60000 [===========>..................] - ETA: 21:35 - loss: 0.3489 - acc: 0.8716
24123/60000 [===========>..................] - ETA: 21:35 - loss: 0.3488 - acc: 0.8717
24126/60000 [===========>..................] - ETA: 21:35 - loss: 0.3489 - acc: 0.8717
24129/60000 [===========>..................] - ETA: 21:35 - loss: 0.3488 - acc: 0.8717
24132/60000 [===========>..................] - ETA: 21:35 - loss: 0.3488 - acc: 0.8717
24135/60000 [===========>..................] - ETA: 21:35 - loss: 0.3487 - acc: 0.8717
24138/60000 [===========>..................] - ETA: 21:35 - loss: 0.3487 - acc: 0.8717
24141/60000 [===========>..................] - ETA: 21:34 - loss: 0.3487 - acc: 0.8717
24144/60000 [===========>..................] - ETA: 21:34 - loss: 0.3487 - acc: 0.8717
24147/60000 [===========>..................] - ETA: 21:34 - loss: 0.3486 - acc: 0.8717
24150/60000 [===========>..................] - ETA: 21:34 - loss: 0.3486 - acc: 0.8717
24153/60000 [===========>..................] - ETA: 21:34 - loss: 0.3486 - acc: 0.8717
24156/60000 [===========>..................] - ETA: 21:34 - loss: 0.3486 - acc: 0.8717
24159/60000 [===========>..................] - ETA: 21:34 - loss: 0.3486 - acc: 0.8717
24162/60000 [===========>..................] - ETA: 21:34 - loss: 0.3488 - acc: 0.8717
24165/60000 [===========>..................] - ETA: 21:34 - loss: 0.3488 - acc: 0.8717
24168/60000 [===========>..................] - ETA: 21:33 - loss: 0.3487 - acc: 0.8717
24171/60000 [===========>..................] - ETA: 21:33 - loss: 0.3487 - acc: 0.8717
24174/60000 [===========>..................] - ETA: 21:33 - loss: 0.3486 - acc: 0.8718
24177/60000 [===========>..................] - ETA: 21:33 - loss: 0.3486 - acc: 0.8718
24180/60000 [===========>..................] - ETA: 21:33 - loss: 0.3486 - acc: 0.8718
24183/60000 [===========>..................] - ETA: 21:33 - loss: 0.3486 - acc: 0.8718
